 itemsNumber	version	feature	description
   101	/en/qgis/version/3.0.0/	Processing	New algorithm to orthagonalize geometries
   102	/en/qgis/version/3.0.0/	Processing	Network analysis algorithms
   103	/en/qgis/version/3.0.0/	Processing	Export processing models as PDF/SVG
   104	/en/qgis/version/3.0.0/	Processing	New algorithm to truncate tables
   105	/en/qgis/version/3.0.0/	Processing	added ‘invalid feature handling’ option
   106	/en/qgis/version/3.0.0/	Processing	algorithm to fix invalid geometries using native makeValid() implementation
   107	/en/qgis/version/3.0.0/	Processing	add search to Get Scripts and Models dialog
   108	/en/qgis/version/3.0.0/	Processing	Generic centroid algorithm
   109	/en/qgis/version/3.0.0/	Processing	improved Extract nodes algorithm
   110	/en/qgis/version/3.0.0/	Processing	New algorithm for translating (moving) points
   111	/en/qgis/version/3.0.0/	Processing	Improved processing modeler window
   112	/en/qgis/version/3.0.0/	Processing	New raster unique values report algorithm
   113	/en/qgis/version/3.0.0/	Processing	remove TauDEM provider from core Processing
   114	/en/qgis/version/3.0.0/	Processing	Download a file from Processing
   115	/en/qgis/version/3.0.0/	Processing	Optimised points along geometry algorithm
   116	/en/qgis/version/3.0.0/	Processing	Sort by expression algorithm
   117	/en/qgis/version/3.0.0/	Application and Project Options	New zipped project file format .qgz 
   118	/en/qgis/version/3.0.0/	Application and Project Options	Add support for user profiles
   119	/en/qgis/version/3.0.0/	Browser	Drag&#39;n&#39;drop layers from layer tree view to browser dock
   120	/en/qgis/version/3.0.0/	Browser	Standalone QGIS Browser application removed
   121	/en/qgis/version/3.0.0/	General	Remove zonal stats plugin
   122	/en/qgis/version/3.0.0/	General	Remove dxf2shp converter plugin
   123	/en/qgis/version/3.0.0/	General	Remove orphaned oracle raster plugin
   124	/en/qgis/version/3.0.0/	General	remove TauDEM provider from core Processing
   125	/en/qgis/version/3.0.0/	General	More help and possibility to configure location of the QGIS help files
   126	/en/qgis/version/3.0.0/	General	Migrate Photo, WebView and FileName widgets to Attachment
   127	/en/qgis/version/3.0.0/	General	Removed otb and lidartools providers from processing
   128	/en/qgis/version/3.0.0/	Data Providers	New unified &#39;add layer&#39; dialog
   129	/en/qgis/version/3.0.0/	Data Providers	GeoPackage
   130	/en/qgis/version/3.0.0/	Data Providers	Support all GDAL writable raster formats for &#39;Save as&#39; dialog on raster layers
   131	/en/qgis/version/3.0.0/	Data Providers	Support for Z/M geometries in gpkg, spatialite and memory layer provider
   132	/en/qgis/version/3.0.0/	Data Providers	Unique and not-null constraint handling
   133	/en/qgis/version/3.0.0/	Data Providers	GeoNode integration
   134	/en/qgis/version/3.0.0/	Data Providers	Detect literal default values for spatialite provider
   135	/en/qgis/version/3.0.0/	Data Providers	Create attribute index support for spatialite provider
   136	/en/qgis/version/3.0.0/	Data Providers	Add support for arrays
   137	/en/qgis/version/3.0.0/	Data Providers	Support for HStore in PostGIS data provider
   138	/en/qgis/version/3.0.0/	Data Providers	Add auto-discovery of relations for PostgresQL
   139	/en/qgis/version/3.0.0/	Data Providers	Data dependencies between layers
   140	/en/qgis/version/3.0.0/	Data Providers	dxf export: support reprojection
   141	/en/qgis/version/3.0.0/	Data Providers	Load/save style in database for GPKG and Spatialite
   142	/en/qgis/version/3.0.0/	Data Providers	Improved handling of defaults
   143	/en/qgis/version/3.0.0/	QGIS Server	QGIS Server overhaul
   144	/en/qgis/version/3.0.0/	QGIS Server	Possibility to segmentize feature info geometry in server
   145	/en/qgis/version/3.0.0/	Plugins	Remove trusted status from Plugin Manager
   146	/en/qgis/version/3.0.0/	Plugins	Offline editing: Add flag to only copy selected features
   147	/en/qgis/version/3.0.0/	Plugins	GDALTools moved to Processing
   148	/en/qgis/version/3.0.0/	Plugins	allow installing plugins from local ZIP packages
   149	/en/qgis/version/3.0.0/	Plugins	Plugins can provide a custom help in Expression window
   150	/en/qgis/version/3.0.0/	Programmability	Geometry class updates
   151	/en/qgis/version/3.0.0/	Programmability	Task manager
   152	/en/qgis/version/3.0.0/	Programmability	API to allow drag&#39;n&#39;drop of custom browser items
   153	/en/qgis/version/3.0.0/	3D Features	3D map view and terrain generation
   154	/en/qgis/version/3.0.0/	3D Features	3D renderers for map layers
     1	/en/qgis/version/3.2.0/	Map Tools	Simplify map tool can now also smooth features 
     2	/en/qgis/version/3.2.0/	Map Tools	Identify Tool with extra options
     3	/en/qgis/version/3.2.0/	Map Tools	Store also expanded/collapsed state of nodes in map Themes
     4	/en/qgis/version/3.2.0/	Map Tools	Auto &quot;Zoom to Selection&quot; mode for new map views
     5	/en/qgis/version/3.2.0/	Map Tools	Choice of simplification method for simplify map tool 
     6	/en/qgis/version/3.2.0/	Map Tools	add zoom to related feature in forms
     7	/en/qgis/version/3.2.0/	Map Tools	Cartesian areas/lengths/perimeters in identify results
     8	/en/qgis/version/3.2.0/	Expressions	New expression functions
     9	/en/qgis/version/3.2.0/	Expressions	More helpful expression builder
    10	/en/qgis/version/3.2.0/	User Interface	Layers panel: indicators for filtered map layers
    11	/en/qgis/version/3.2.0/	User Interface	Allow customizing prefix of locator filters
    12	/en/qgis/version/3.2.0/	User Interface	Opening of vector and raster stored on HTTP(S), FTP, or cloud services
    13	/en/qgis/version/3.2.0/	User Interface	Quick calculator in locator search bar 
    14	/en/qgis/version/3.2.0/	User Interface	Shortcuts for toggling panels
    15	/en/qgis/version/3.2.0/	User Interface	Bookmark searching in locator
    16	/en/qgis/version/3.2.0/	User Interface	Close and Revert Project actions
    17	/en/qgis/version/3.2.0/	User Interface	Unsaved changes indicator in title bar
    18	/en/qgis/version/3.2.0/	User Interface	Configurable map tips delay
    19	/en/qgis/version/3.2.0/	User Interface	Move layer or group to top of layer panel
    20	/en/qgis/version/3.2.0/	User Interface	Copy statistics panel content to clipboard button
    21	/en/qgis/version/3.2.0/	User Interface	Search Settings, Options, and Project Properties pages from locator
    22	/en/qgis/version/3.2.0/	User Interface	Indicators for embedded layers and groups
    23	/en/qgis/version/3.2.0/	Symbology	Nicer colors for new layers
    24	/en/qgis/version/3.2.0/	Rendering	Improved map Copyright decoration
    25	/en/qgis/version/3.2.0/	Rendering	Main window scale bar font size and family can be customized
    26	/en/qgis/version/3.2.0/	Rendering	Custom SVG path and size for the north arrow decoration
    27	/en/qgis/version/3.2.0/	Data Management	Refresh a materialized view
    28	/en/qgis/version/3.2.0/	Data Management	Z and M support for offline editing
    29	/en/qgis/version/3.2.0/	Data Management	Metadata for QGIS projects
    30	/en/qgis/version/3.2.0/	Forms and Widgets	Multi-column layout for multiselect value relation widget
    31	/en/qgis/version/3.2.0/	Forms and Widgets	Allow using a URL for custom attribute forms (UI file)
    32	/en/qgis/version/3.2.0/	Forms and Widgets	Drill-down (cascading) forms
    33	/en/qgis/version/3.2.0/	Layer Legend	Optional text on top of symbols for vector layers
    34	/en/qgis/version/3.2.0/	Layer Legend	Copy&amp;Paste Group/Layers from a QGIS project to another. 
    35	/en/qgis/version/3.2.0/	Map Composer	Data defined table source for attribute table items
    36	/en/qgis/version/3.2.0/	Map Composer	Project metadata embedded in layout exports
    37	/en/qgis/version/3.2.0/	Map Composer	Better formatting for scalebar text
    38	/en/qgis/version/3.2.0/	Processing	Improved &#39;Join by attribute table&#39; algorithm
    39	/en/qgis/version/3.2.0/	Processing	Load script from template
    40	/en/qgis/version/3.2.0/	Processing	Feature filter algorithm for processing models
    41	/en/qgis/version/3.2.0/	Processing	Zonal histogram
    42	/en/qgis/version/3.2.0/	Processing	Port Union, Difference and Intersection algorithms to C++
    43	/en/qgis/version/3.2.0/	Processing	&#39;Project points (cartesian)&#39; algorithm
    44	/en/qgis/version/3.2.0/	Processing	Dynamic parameter values for more algorithms
    45	/en/qgis/version/3.2.0/	Processing	Multi-ring buffer (constant distance) algorithm
    46	/en/qgis/version/3.2.0/	Processing	New &quot;segmentize&quot; algorithms
    47	/en/qgis/version/3.2.0/	Processing	Option to create points on all polygon parts
    48	/en/qgis/version/3.2.0/	Processing	Rotate Features algorithm
    49	/en/qgis/version/3.2.0/	Processing	Line sinuosity in &quot;Add Geometry Attributes&quot; 
    50	/en/qgis/version/3.2.0/	Processing	Import geotagged photos
    51	/en/qgis/version/3.2.0/	Processing	Swap x/y coordinate values algorithm
    52	/en/qgis/version/3.2.0/	Processing	Sort order option for &quot;Add Incremental Field&quot;
    53	/en/qgis/version/3.2.0/	Processing	Indicator for distance parameter units
    54	/en/qgis/version/3.2.0/	Processing	Algorithm log can be saved/cleared/copied
    55	/en/qgis/version/3.2.0/	Processing	Wedge buffer algorithm 
    56	/en/qgis/version/3.2.0/	Processing	Variable width buffers
    57	/en/qgis/version/3.2.0/	Processing	Reclassify raster algorithms
    58	/en/qgis/version/3.2.0/	Processing	Union algorithm with a single layer
    59	/en/qgis/version/3.2.0/	Application and Project Options	Mandatory layers in project
    60	/en/qgis/version/3.2.0/	Application and Project Options	Saving and loading projects in PostgreSQL database
    61	/en/qgis/version/3.2.0/	Browser	Save/Load connections for XYZ Tiles
    62	/en/qgis/version/3.2.0/	Browser	Project home path can be manually set
    63	/en/qgis/version/3.2.0/	General	New zipped project file format .qgz is now the default format 
    64	/en/qgis/version/3.2.0/	General	Filtering for field values in Query Builder
    65	/en/qgis/version/3.2.0/	General	FULL screen Map via Ctrl-Shift-Tab
    66	/en/qgis/version/3.2.0/	Data Providers	Support for mesh layers
    67	/en/qgis/version/3.2.0/	Data Providers	Automatically set default style for layers for ArcGIS Feature Server layers
    68	/en/qgis/version/3.2.0/	Data Providers	Faster Oracle queries
    69	/en/qgis/version/3.2.0/	Data Providers	Restrict table list for a Oracle database connection to a preset schema
    70	/en/qgis/version/3.2.0/	Data Providers	Read only support for curved Oracle geometries 
    71	/en/qgis/version/3.2.0/	Plugins	Adding query history in DB Manager
    72	/en/qgis/version/3.2.0/	Plugins	DB Manager SQL execution in background
    73	/en/qgis/version/3.2.0/	3D Features	3D Polygons: Optionally generate back faces 
     1	/en/qgis/version/3.4-LTR/	Expressions	New expression functions and variables
     2	/en/qgis/version/3.4-LTR/	Expressions	Code completion for expression builder
     3	/en/qgis/version/3.4-LTR/	Map Tools	Identify or select features based on existing polygon
     4	/en/qgis/version/3.4-LTR/	User Interface	Auto selection of exported files in file manager
     5	/en/qgis/version/3.4-LTR/	User Interface	New &quot;Open Directory&quot; option for disabled welcome page projects
     6	/en/qgis/version/3.4-LTR/	User Interface	UX Improvements for Temporary Scratch Layers
     7	/en/qgis/version/3.4-LTR/	User Interface	Task manager improvements 
     8	/en/qgis/version/3.4-LTR/	User Interface	Hyperlinks to local vector &amp; raster datasets in the information panel
     9	/en/qgis/version/3.4-LTR/	User Interface	Style manager improvements
    10	/en/qgis/version/3.4-LTR/	User Interface	Polished browser panel interface and experience
    11	/en/qgis/version/3.4-LTR/	User Interface	QML chart and drawings widget
    12	/en/qgis/version/3.4-LTR/	Symbology	Mesh layer styling
    13	/en/qgis/version/3.4-LTR/	Symbology	Classify symmetric in graduated renderer
    14	/en/qgis/version/3.4-LTR/	Symbology	Partial QML export and import
    15	/en/qgis/version/3.4-LTR/	Digitising	GPS tracking improvements
    16	/en/qgis/version/3.4-LTR/	Digitising	More angle choices in advanced digitizing dock
    17	/en/qgis/version/3.4-LTR/	Digitising	Vertex tool can work on the current layer only
    18	/en/qgis/version/3.4-LTR/	Digitising	Add reverse line maptools
    19	/en/qgis/version/3.4-LTR/	Digitising	Geometry Precision
    20	/en/qgis/version/3.4-LTR/	Digitising	Automatically remove duplicate nodes
    21	/en/qgis/version/3.4-LTR/	Digitising	Check for geometry validity
    22	/en/qgis/version/3.4-LTR/	Digitising	Topology checks while editing
    23	/en/qgis/version/3.4-LTR/	Data Management	Translation of QGIS projects
    24	/en/qgis/version/3.4-LTR/	Data Management	Switch Attribute Table dock mode on demand
    25	/en/qgis/version/3.4-LTR/	Data Management	New locator filter to search across all layers
    26	/en/qgis/version/3.4-LTR/	Data Management	Non-removable (required) layers highlighted in layer tree
    27	/en/qgis/version/3.4-LTR/	Data Management	Append raster layer to an existing Geopackage
    28	/en/qgis/version/3.4-LTR/	Forms and Widgets	Drill-down (cascading) forms in QGIS Value Relation Widgets
    29	/en/qgis/version/3.4-LTR/	Map Composer	3D map items
    30	/en/qgis/version/3.4-LTR/	Processing	New &quot;Edit in place&quot; mode
    31	/en/qgis/version/3.4-LTR/	Processing	Store models inside project
    32	/en/qgis/version/3.4-LTR/	Processing	Sample Raster Values
    33	/en/qgis/version/3.4-LTR/	Processing	New &#39;Raster pixels to polygons&#39; algorithm
    34	/en/qgis/version/3.4-LTR/	Processing	K Means clustering algorithm 
    35	/en/qgis/version/3.4-LTR/	Processing	dbscan spatial clustering algorithm 
    36	/en/qgis/version/3.4-LTR/	Processing	Improved algorithms
    37	/en/qgis/version/3.4-LTR/	Processing	Filter Vertices by M and Filter Vertices by Z algorithms
    38	/en/qgis/version/3.4-LTR/	Processing	&quot;Array of Translated Features&quot; algorithm
    39	/en/qgis/version/3.4-LTR/	Processing	&quot;Array of offset (parallel) lines&quot; algorithm 
    40	/en/qgis/version/3.4-LTR/	Processing	Choice of units for non degree/unknown distances 
    41	/en/qgis/version/3.4-LTR/	Processing	&quot;Drape features to z/m&quot; algorithms 
    42	/en/qgis/version/3.4-LTR/	Processing	&quot;Raster pixels to points&quot; algorithm 
    43	/en/qgis/version/3.4-LTR/	Processing	Line substring algorithm 
    44	/en/qgis/version/3.4-LTR/	Processing	&quot;Interpolate point on line&quot; algorithm 
    45	/en/qgis/version/3.4-LTR/	Processing	k-neighbour concave hull
    46	/en/qgis/version/3.4-LTR/	Processing	Python scripts which implement algorithms now execute the algorithm on drag and drop and browser double click
    47	/en/qgis/version/3.4-LTR/	Processing	New GDAL&#39;s rearrange band algorithm
    48	/en/qgis/version/3.4-LTR/	Processing	&quot;Precalculated&quot; values for model algorithm parameters
    49	/en/qgis/version/3.4-LTR/	Processing	&quot;Categorize a layer using a style XML file&quot; algorithm
    50	/en/qgis/version/3.4-LTR/	Processing	New mode for Snap geometries algorithm
    51	/en/qgis/version/3.4-LTR/	General	Flatpak
    52	/en/qgis/version/3.4-LTR/	General	SVG files can be embedded in projects and symbols
    53	/en/qgis/version/3.4-LTR/	General	OpenCL based acceleration
    54	/en/qgis/version/3.4-LTR/	Data Providers	OAuth2 authentication method plugin
    55	/en/qgis/version/3.4-LTR/	Data Providers	Mesh layer: New mesh layer format support
    56	/en/qgis/version/3.4-LTR/	Data Providers	Mesh layer: add function to identify value on mesh layers
    57	/en/qgis/version/3.4-LTR/	Data Providers	Mesh layer: allow to choose different vector and scalar dataset
    58	/en/qgis/version/3.4-LTR/	Data Providers	 Mesh layer: allow render vectors/arrows on the user-defined grid
    59	/en/qgis/version/3.4-LTR/	Data Providers	JSON/JSONB Type support
    60	/en/qgis/version/3.4-LTR/	Data Providers	ESRI Token Authentication support
    61	/en/qgis/version/3.4-LTR/	Data Providers	SQL Server - Invalid geometry handling
    62	/en/qgis/version/3.4-LTR/	QGIS Server	Server Cache can be manage by plugins 
    63	/en/qgis/version/3.4-LTR/	QGIS Server	WMTS 1.0.0 support
    64	/en/qgis/version/3.4-LTR/	QGIS Server	Add ability to define min. scale for WMTS
    65	/en/qgis/version/3.4-LTR/	QGIS Server	 Support QGIS Server logs to stderr 
    66	/en/qgis/version/3.4-LTR/	Plugins	Support for encrypted zips in the Plugin Manager
    67	/en/qgis/version/3.4-LTR/	Plugins	Offline Editing GeoPackage
    68	/en/qgis/version/3.4-LTR/	Programmability	QgsSpatialIndexKDBush
    69	/en/qgis/version/3.4-LTR/	Programmability	QgsRasterDataProvider::sample method for efficient sampling of rasters at a given point
    70	/en/qgis/version/3.4-LTR/	Programmability	New geometry API call to return a curve substring 
    71	/en/qgis/version/3.4-LTR/	Programmability	sip Module API Changes
    72	/en/qgis/version/3.4-LTR/	Programmability	Python vector data providers
    73	/en/qgis/version/3.4-LTR/	3D Features	Improved navigation
    74	/en/qgis/version/3.4-LTR/	3D Features	Animation
    75	/en/qgis/version/3.4-LTR/	3D Features	Simple rendering of 3D linestrings 
    76	/en/qgis/version/3.4-LTR/	3D Features	Identification map tool for 3D views
    77	/en/qgis/version/3.4-LTR/	3D Features	Experimental Python API
     1	/en/qgis/version/3.6.0/	Map Tools	Title label decoration
     2	/en/qgis/version/3.6.0/	Map Tools	Top/bottom centering placement for decoration items 
     3	/en/qgis/version/3.6.0/	Map Tools	Vertex tool fixes and improvements
     4	/en/qgis/version/3.6.0/	Map Tools	Trim/Extend
     5	/en/qgis/version/3.6.0/	Map Tools	Rectangle from 3 points (projected)
     6	/en/qgis/version/3.6.0/	Map Tools	Identify tool for mesh layers
     7	/en/qgis/version/3.6.0/	Expressions	New Expression Functions
     8	/en/qgis/version/3.6.0/	Expressions	Square brackets to easily access map array elements
     9	/en/qgis/version/3.6.0/	Expressions	New map expression variables
    10	/en/qgis/version/3.6.0/	Expressions	New try() function to catch errors
    11	/en/qgis/version/3.6.0/	User Interface	A new grayscale theme: &quot;Blend of Gray&quot;
    12	/en/qgis/version/3.6.0/	User Interface	Multiline selections and editing in code/expression editors
    13	/en/qgis/version/3.6.0/	Symbology	Better handling of .XML style libraries
    14	/en/qgis/version/3.6.0/	Symbology	Optionally force right-hand-rule during polygon symbol rendering
    15	/en/qgis/version/3.6.0/	Symbology	Option for simple lines and marker lines to only render exterior ring or interior rings
    16	/en/qgis/version/3.6.0/	Symbology	Raster image marker
    17	/en/qgis/version/3.6.0/	Symbology	Raster fill can have images set to remote URLs or embedded images
    18	/en/qgis/version/3.6.0/	Symbology	Use represention values for classified renderers
    19	/en/qgis/version/3.6.0/	Symbology	Option to merge categories in categorized renderer 
    20	/en/qgis/version/3.6.0/	Symbology	Show Project Colors in color bound data defined buttons 
    21	/en/qgis/version/3.6.0/	Symbology	Style manager dialog improvements
    22	/en/qgis/version/3.6.0/	Symbology	SLD export for raster styles
    23	/en/qgis/version/3.6.0/	Digitising	Georeferencer enhancements
    24	/en/qgis/version/3.6.0/	Digitising	New option to avoid minimizing georeferencer when adding points 
    25	/en/qgis/version/3.6.0/	Data Management	Comment option in db manager
    26	/en/qgis/version/3.6.0/	Forms and Widgets	New form widget for binary (blob) fields
    27	/en/qgis/version/3.6.0/	Map Composer	Grid frame improvements
    28	/en/qgis/version/3.6.0/	Map Composer	Improved handling of text and label export
    29	/en/qgis/version/3.6.0/	Map Composer	Map labeling improvements
    30	/en/qgis/version/3.6.0/	Map Composer	Rework of map item extent/scale shortcuts
    31	/en/qgis/version/3.6.0/	Map Composer	Layout items can &quot;block&quot; map labels
    32	/en/qgis/version/3.6.0/	Map Composer	Warnings on exports
    33	/en/qgis/version/3.6.0/	Map Composer	Control over stacking position of map overview extents
    34	/en/qgis/version/3.6.0/	Map Composer	New expression variables for legend items 
    35	/en/qgis/version/3.6.0/	Map Composer	Expressions inside legend item text
    36	/en/qgis/version/3.6.0/	Analysis Tools	Hardware acceleration for raster calculator
    37	/en/qgis/version/3.6.0/	Analysis Tools	Mesh calculator
    38	/en/qgis/version/3.6.0/	Processing	New algorithm &quot;Remove duplicates by attribute&quot;
    39	/en/qgis/version/3.6.0/	Processing	Explode HStore algorithm
    40	/en/qgis/version/3.6.0/	Processing	Force right-hand-rule
    41	/en/qgis/version/3.6.0/	Processing	Extract Binary Field algorithm
    42	/en/qgis/version/3.6.0/	Processing	Split Lines by Maximum Length algorithm 
    43	/en/qgis/version/3.6.0/	Processing	New parameter type for authentication config
    44	/en/qgis/version/3.6.0/	Processing	 resampling and format options in the gdaladdo algorithm
    45	/en/qgis/version/3.6.0/	Processing	Raster zonal stats algorithm
    46	/en/qgis/version/3.6.0/	Processing	Extract Z values and Extract M values algorithms
    47	/en/qgis/version/3.6.0/	Processing	Geodesic line split at antimeridian algorithm
    48	/en/qgis/version/3.6.0/	Processing	Geodesic mode for &quot;Join by Lines (Hub lines)&quot; algorithm
    49	/en/qgis/version/3.6.0/	Processing	Raster Surface Volume algorithm
    50	/en/qgis/version/3.6.0/	Processing	Resurrected model to Python script functionality
    51	/en/qgis/version/3.6.0/	Application and Project Options	Delete settings from the Advanced tab in options
    52	/en/qgis/version/3.6.0/	Browser	Add &quot;export to file&quot; options for raster and vector layers within the browser
    53	/en/qgis/version/3.6.0/	Browser	Native file/folder properties
    54	/en/qgis/version/3.6.0/	Browser	Preview layers and attributes
    55	/en/qgis/version/3.6.0/	Browser	Explore QGS/QGZ project files in the browser
    56	/en/qgis/version/3.6.0/	Browser	Directly Create Geopackage and Shapefiles
    57	/en/qgis/version/3.6.0/	Browser	Open Terminal at Path
    58	/en/qgis/version/3.6.0/	General	Improved &quot;missing layer&quot; handling on project load
    59	/en/qgis/version/3.6.0/	General	Optional setting for disabling version checks
    60	/en/qgis/version/3.6.0/	General	Add a toggle action to vector layer legend items
    61	/en/qgis/version/3.6.0/	Data Providers	Open service info for ArcGIS Feature Server layers
    62	/en/qgis/version/3.6.0/	Data Providers	Binary blob support for OGR providers
    63	/en/qgis/version/3.6.0/	Data Providers	ArcGIS Feature Server picture marker and picture fill support
    64	/en/qgis/version/3.6.0/	Data Providers	ArcGIS Feature Server labeling support
    65	/en/qgis/version/3.6.0/	Data Providers	Boolean and binary field support for memory layers
    66	/en/qgis/version/3.6.0/	Data Providers	JSON Support for GeoPackage
    67	/en/qgis/version/3.6.0/	Data Providers	Postgres provider: save primary key selection
    68	/en/qgis/version/3.6.0/	Data Providers	ArcGIS Feature Server multi-field unique value support
    69	/en/qgis/version/3.6.0/	QGIS Server	Possibility to set ATLAS_PK in GetPrint request to print atlas sheet(s)
    70	/en/qgis/version/3.6.0/	QGIS Server	WMTS tile matrices configuration 
    71	/en/qgis/version/3.6.0/	QGIS Server	Add JSON format for WMS GetFeatureInfo request
    72	/en/qgis/version/3.6.0/	Plugins	DB Manager: Adds buttons to load and save an external SQL file
    73	/en/qgis/version/3.6.0/	Programmability	New class QgsExifTools 
    74	/en/qgis/version/3.6.0/	Programmability	Iterate over parts of a QgsGeometry
    75	/en/qgis/version/3.6.0/	Programmability	Improved QgsLineString PyQGIS API
    76	/en/qgis/version/3.6.0/	Programmability	PyQGIS Geometry Collection API improvements
    77	/en/qgis/version/3.6.0/	Programmability	Easier Processing algorithm creation via @alg decorator
    78	/en/qgis/version/3.6.0/	Programmability	Blocking (non-async) network requests 
    79	/en/qgis/version/3.6.0/	Programmability	Custom validity checks on layout exports
    80	/en/qgis/version/3.6.0/	Programmability	API for calculating Geodesic lines
    81	/en/qgis/version/3.6.0/	Programmability	New class QgsQuadrilateral
    82	/en/qgis/version/3.6.0/	Notable Fixes	Bug fixes by Alessandro Pasotti
    83	/en/qgis/version/3.6.0/	Notable Fixes	Bug fixes by Alexander Bruy
    84	/en/qgis/version/3.6.0/	Notable Fixes	Bug fixes by Jürgen Fischer
    85	/en/qgis/version/3.6.0/	Notable Fixes	Bug fixes by Peter Petrik
    86	/en/qgis/version/3.6.0/	Notable Fixes	Bug fixes by Julien Cabieces
    87	/en/qgis/version/3.6.0/	Notable Fixes	Bug fixes by Loïc Bartoletti
    88	/en/qgis/version/3.6.0/	Notable Fixes	Bug fixes by Victor Olaya
    89	/en/qgis/version/3.6.0/	Notable Fixes	Bug fixes by Even Rouault
    90	/en/qgis/version/3.6.0/	Notable Fixes	Bug fixes by Martin Dobias
    91	/en/qgis/version/3.6.0/	Notable Fixes	Bug fixes by Nyall Dawson
    92	/en/qgis/version/3.6.0/	Notable Fixes	Bug fixes by Hugo Mercier
    93	/en/qgis/version/3.6.0/	3D Features	Terrain shading
    94	/en/qgis/version/3.6.0/	3D Features	Configuration of lights in 3D map scenes
    95	/en/qgis/version/3.6.0/	3D Features	Rule-based 3D renderer 
    96	/en/qgis/version/3.6.0/	3D Features	Support for mesh layer (faces) in 3D
     1	/en/qgis/version/3.8/	Expressions	Add order by support to expression aggregate and concatenation functions
     2	/en/qgis/version/3.8/	Expressions	 Simplified variant of &quot;attribute&quot; function
     3	/en/qgis/version/3.8/	Expressions	Retrieve vertices from the end of geometeries
     4	/en/qgis/version/3.8/	Expressions	New Expression functions which return file info
     5	/en/qgis/version/3.8/	Expressions	New aggregation method: concatenate_unique
     6	/en/qgis/version/3.8/	Map Tools	Force Cartesian Measurements when Measuring Distances/Areas
     7	/en/qgis/version/3.8/	User Interface	Save to Template Button
     8	/en/qgis/version/3.8/	User Interface	Improved &quot;Zoom to Native Resolution&quot; behavior
     9	/en/qgis/version/3.8/	User Interface	Drag and Drop Layers to Map Layer widgets
    10	/en/qgis/version/3.8/	Symbology	Allow strings for font markers
    11	/en/qgis/version/3.8/	Symbology	Point Displacement label distance factor 
    12	/en/qgis/version/3.8/	Symbology	Hash Line symbol type
    13	/en/qgis/version/3.8/	Symbology	Average line angles for marker and hashed line symbology
    14	/en/qgis/version/3.8/	Symbology	Offset settings for point pattern fill symbol layers
    15	/en/qgis/version/3.8/	Symbology	Much Improved UI for Character Marker symbol layers
    16	/en/qgis/version/3.8/	Symbology	Live Effects Blur Radius is now hi-dpi friendly
    17	/en/qgis/version/3.8/	Labelling	Geometry generators for labeling
    18	/en/qgis/version/3.8/	Labelling	Label Map Tools now use click-click behavior
    19	/en/qgis/version/3.8/	Digitising	Floating widget for advanced input next to cursor
    20	/en/qgis/version/3.8/	Digitising	Chained add vertex at the endpoint
    21	/en/qgis/version/3.8/	Forms and Widgets	Allow browsing feature list
    22	/en/qgis/version/3.8/	Map Composer	Distribute spacing between items evenly
    23	/en/qgis/version/3.8/	Map Composer	North Arrow Creation
    24	/en/qgis/version/3.8/	Processing	Add &quot;Save layer styles into GeoPackage&quot; option for Package Layers algorithm
    25	/en/qgis/version/3.8/	Processing	Overlap Analysis
    26	/en/qgis/version/3.8/	Processing	Allow rounding values in ExtentFromLayer
    27	/en/qgis/version/3.8/	Processing	New options to autofill batch processing dialog
    28	/en/qgis/version/3.8/	Processing	Generate raster XYZ tiles
    29	/en/qgis/version/3.8/	Processing	Integrate OTB provider to processing plugin
    30	/en/qgis/version/3.8/	Processing	Allow expression variables to be set for a model 
    31	/en/qgis/version/3.8/	Processing	Improved modeler UI
    32	/en/qgis/version/3.8/	Processing	Improved handling of algorithms with known issues
    33	/en/qgis/version/3.8/	Processing	Raster Boolean logical OR/AND algorithms 
    34	/en/qgis/version/3.8/	Processing	New input parameter types for Print Layouts and Print Layout Items
    35	/en/qgis/version/3.8/	Processing	New parameter type for Map Scales
    36	/en/qgis/version/3.8/	Processing	Improved &quot;point&quot; parameter handling
    37	/en/qgis/version/3.8/	Processing	New &quot;Print Layout Map Extent to Layer&quot; algorithm
    38	/en/qgis/version/3.8/	Processing	Add X/Y fields to layer
    39	/en/qgis/version/3.8/	Processing	&quot;Join attributes by nearest&quot; algorithm
    40	/en/qgis/version/3.8/	Processing	Added the algorithm r.geomorphon to the processing toolbox
    41	/en/qgis/version/3.8/	Processing	Expose GDAL pansharpening tool in the Processing
    42	/en/qgis/version/3.8/	Browser	Direct access to sheets from XLSX/ODS files
    43	/en/qgis/version/3.8/	General	Store QGIS projects inside geopackage files
    44	/en/qgis/version/3.8/	General	Much Improved Coordinate Transform Handling
    45	/en/qgis/version/3.8/	Data Providers	postgres provider: add support for generated identity columns
    46	/en/qgis/version/3.8/	Data Providers	String List support for compatible layers
    47	/en/qgis/version/3.8/	Data Providers	Much Improved ArcGIS MapServer Handling
    48	/en/qgis/version/3.8/	Data Providers	SQL Server: handle v2 geometries, including curved and Z/M geometries
    49	/en/qgis/version/3.8/	Data Providers	Add possbility to define one filter for several layers
    50	/en/qgis/version/3.8/	QGIS Server	Allow configuring size for GetLegendGraphics
    51	/en/qgis/version/3.8/	Plugins	Plugin dependencies optional support
    52	/en/qgis/version/3.8/	Programmability	Add REGEXP SQL syntax support to spatialite provider and python connections
